_ID (Object),Accession Number,Temp ID,Artist Sort Name,Display Artist,Display Title,Display Medium,Display Dimensions,Display Create Date,City,County,Feature Description,TGN ID,Geoname,Historic place,Neighborhood,Direction,Guess,Extent,State Province,Object Type,Media Filepath ,EMA web address
124219,,PST0828,"Tiktinsky, Michael",Michael Tiktinsky,"Miner's Pick, Amador County, California",digital permanent ink print,12 1/2 in. x 14 in. (31.75 cm x 35.56 cm),2003,,Amador,Amador County,1002146,,,,,,,California,photograph,I:\Images\04_Web\PST\PST0828.jpg,
116871,,T2004.003,"Fricker, Geoff",Geoff Fricker,"Western Canal Water District Dam, Butte Creek, California",gelatin silver print,27 1/2 in. x 35 in. (69.85 cm x 88.9 cm),1993,,Butte,Butte County,1002218,,,,,,,California,photograph,,
136860,2011.103,PH10.171,"Light, Ken",Ken Light,"Fresno County, California",gelatin silver print,15 1/4 in. x 15 1/2 in. (38.74 cm x 39.37 cm),2007,,Fresno,Fresno County,1002392,,,,,,,California,photograph,I:\Images\04_Web\2011\2011.103_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/136860
9112,93.192,,"Bush, Andrew",Andrew Bush,"Man Traveling Southwest at 67 mph on Interstate 5 Outside of Lost Hills, CA",chromogenic print,30 in. x 40 in. (76.2 cm x 101.6 cm),1992,,Kern,Kern County,1002545,,,,,,,California,photograph,I:\Images\04_Web\1993\93.192.jpg,
150609,2014.91,PH13.186,"Jones, Pirkle",Pirkle Jones,"Untitled [Mother picking cotton with her child, Kern County, California]",gelatin silver print,14 in. x 11 in. (35.56 cm x 27.94 cm),1957; printed 1961,,Kern,Kern County,1002545,,,Kern County,,,,California,photograph,I:\Images\04_Web\PH\PH13.186_01_B04.jpg,
152948,,PH14.026,"Lange, Dorothea",Dorothea Lange,"Potato Picker's Roadside Bed, Kern County",gelatin silver print,7 5/16  x 7 5/8 in. (18.57  x 19.37 cm),1935,,Kern,Kern County,1002545,,,,,,,California,photograph,I:\Images\04_Web\PH\ph14.026.jpg,
12478,71.71.13,,"Lange, Dorothea",Dorothea Lange,Texas Farmer to Migratory Worker in California (Kern County),gelatin silver print,3 3/16  x 4 in. (8.1  x 10.16 cm),"1938, printed 1971",,Kern,Kern County,1002545,,Kern County,,,,,California,photograph,I:\Images\04_Web\1971\71.71.13_01_s04.jpg,http://www.sfmoma.org/explore/collection/artwork/12478
103817,2000.653,PH00.386,"Lange, Dorothea",Dorothea Lange,"Gas Station, Kern County, California",gelatin silver print,7 3/4 in. x 7 1/2 in. (19.69 cm x 19.05 cm),1938,,Kern,Kern County,1002545,,Kern County,,,,,California,photograph,I:\Images\04_Web\2000\2000.653_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/103817
134689,,UCPH09.006,"Lange, Dorothea",Dorothea Lange,"Kern County, California",gelatin silver print,[dimensions in research],"1938, printed 1990s",,Kern,Kern County,1002545,,Kern County,,,,,California,photograph,,
135892,2010.129,PH10.073,"Watkins, Carleton E.",Carleton E. Watkins,"Bellevue Ranch, Kern County, California",albumen print,7 in. x 8 5/8 in. (17.78 cm x 21.91 cm),1888,,Kern,Kern County,1002545,,Bellevue Ranch,,,,,California,photograph,I:\Images\04_Web\PH\PH10.073_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/135892
144492,2013.12,PH12.029,"Goodman, Tim",Tim Goodman,Madera County No. 3,gelatin silver print,15 1/4 in. x 15 in. (38.74 cm x 38.1 cm),2011,,Madera,Madera County,1002621,,,Madera County,,,,California,photograph,I:\Images\04_Web\PH\PH12.029_01_b02.jpg,http://www.sfmoma.org/explore/collection/artwork/144492
14563,85.301,,"Weston, Brett",Brett Weston,Untitled (Monterey Pines),gelatin silver print,,1962,Monterey,Monterey,Monterey County,1002684,,,,,,,California,photograph,I:\Images\04_Web\1985\85.301.jpg,
14655,85.779,,"Weston, Brett",Brett Weston,Untitled (Monterey Coast),gelatin silver print,,1960,Monterey,Monterey,Monterey County,1002684,,,,,,,California,photograph,I:\Images\04_Web\1985\85.779.jpg,
14709,62.117,,"Weston, Edward",Edward Weston,Eroded Rock - Monterey Coast,gelatin silver print,9 9/16 in. x 7 7/16 in. (24.29 cm x 18.89 cm),1931,,,Monterey County,1002684,,Monterey Coast,,,,,California,photograph,I:\Images\04_Web\1962\62.1170_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/14709
14715,62.1176,62.1176,"Weston, Edward",Edward Weston,"Tomato Field, Monterey Coast",gelatin silver print,7 1/2 in. x 9 1/2 in. (19.05 cm x 24.13 cm),"1937, printed later?",,,Monterey County,1002684,,Monterey Coast,,,,,California,photograph,I:\Images\04_Web\1962\62.1176_01_s04.jpg,http://www.sfmoma.org/explore/collection/artwork/14715
104429,2001.357,PH01.031,"Adams, Robert",Robert Adams,"San Bernardino County, California",gelatin silver print,11 in. x 14 in. (27.94 cm x 35.56 cm),1982,San Bernadino,San Bernardino,San Bernardino County,1002857,,,,,,"City is spelled wrong. Also, city listed as San Bernadino (sp) but title states San Bernardino County only.",California,photograph,I:\Images\04_Web\2001\2001.357.jpg,
104437,2001.36,PH01.039,"Adams, Robert",Robert Adams,"Santa Ana Wash, San Bernardino County, California",gelatin silver print,14 in. x 11 in. (35.56 cm x 27.94 cm),ca. 1998,,San Bernardino,San Bernardino County,1002857,,,San Bernadino County,,,,California,photograph,I:\Images\04_Web\2001\2001.360.jpg,
104527,2001.329,PH01.055,"Adams, Robert",Robert Adams,Above San Bernardino,gelatin silver print,9 1/2 in. x 9 in. (24.13 cm x 22.86 cm),1982,,San Bernardino,San Bernardino County,1002857,,,San Bernadino County,,,,California,photograph,I:\Images\04_Web\2001\2001.328_01_g04.jpg,http://www.sfmoma.org/explore/collection/artwork/104527
104591,2001.326,PH01.082,"Adams, Robert",Robert Adams,"Eucalyptus Along Interstate 10, San Bernardino County, California",gelatin silver print,9 in. x 11 1/4 in. (22.86 cm x 28.58 cm),1978,,San Bernardino,San Bernardino County,1002857,,,,,,,California,photograph,I:\Images\04_Web\2001\2001.326.jpg,http://www.sfmoma.org/explore/collection/artwork/104591
134720,2009.256,PH09.266,"Adams, Robert",Robert Adams,"Eucalyptus next to Interestate 10, San Bernardino County, California",gelatin silver print,11 in. x 14 in. (27.94 cm x 35.56 cm),1979,,San Bernardino,San Bernardino County,1002857,,,,,,,California,photograph,,
146696,2012.246,PH12.145,"Ruwedel, Mark",Mark Ruwedel,"Shoe Tree #4 (San Bernardino County, California)",chromogenic print,8 in. x 10 in. (20.32 cm x 25.4 cm),2004,,San Bernardino,San Bernardino County,1002857,,,,,,,California,photograph,"S:\Photography\Accessions\Fauci Ruwedel\Additional donations\Shoe Tree 4 San Bernadina County CA, 2004.jpg",http://www.sfmoma.org/explore/collection/artwork/146696
7300,93.36,,"Bush, Andrew",Andrew Bush,"Woman Traveling South at 68 mph on Interstate 5 Near San Diego, California on a",chromogenic print,29 7/8 in. x 39 1/4 in. (75.88 cm x 99.7 cm),1992,,San Diego,San Diego County,1002858,,,,,,,California,photograph,,
14789,73.60.2,,"White, Minor",Minor White,"Devil's Slide, San Mateo County, California",gelatin silver print,6 11/16 in. x 8 3/16 in. (16.99 cm x 20.8 cm),1948,San Mateo,San Mateo,San Mateo County,1002864,,,,,,,California,photograph,I:\Images\04_Web\1973\73.60.2.jpg,http://www.sfmoma.org/explore/collection/artwork/14789
103070,2000.62,PH2000260,"White, Minor",Minor White,"Devil's Slide, San Mateo County, California",gelatin silver print,7 3/8 in. x 9 7/8 in. (18.73 cm x 25.08 cm),1948,San Mateo,San Mateo,San Mateo County,1002864,,,,,,,California,photograph,I:\Images\04_Web\2000\2000.620_01_s04.jpg,http://www.sfmoma.org/explore/collection/artwork/103070
15060,73.33.1,,"Worth, Don",Don Worth,"Self-Portrait, San Mateo County, Calif 1969",gelatin silver print,,1969,San Mateo,San Mateo,San Mateo County,1002864,,,,,,,California,photograph,,
135077,2010.81,PH10.035,"Adam, Philip",Philip Adam,"New Construction, Solano County",gelatin silver print,5 1/8 in. x 8 1/2 in. (13.02 cm x 21.59 cm),1997,,Solano,Solano County,1002901,,,Solano County,,,,California,photograph,I:\Images\04_Web\2010\2010.81_01_b02.jpg,
14697,62.434.3,,"Weston, Edward",Edward Weston,"Hill and Poles, Solano County",gelatin silver print,7 1/2 in. x 9 1/2 in. (19.05 cm x 24.13 cm),1937; printed later,,Solano,Solano County,1002901,,Solano County,,,,,California,photograph,I:\Images\04_Web\1962\62.434.B.jpg,
136863,2011.107,PH10.174,"Light, Ken",Ken Light,"Land, Stanislaus County, California",gelatin silver print,15 in. x 15 in. (38.1 cm x 38.1 cm),2008,,Stanislaus,Stanislaus County,1002915,,,,,,,California,photograph,I:\Images\04_Web\2011\2011.107_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/136863
9173,93.394,,"Garnett, William A.",William A. Garnett,"Contour Graded Hills, Ventura County, California",gelatin silver print,10 15/16 in. x 13 15/16 in. (27.78 cm x 35.4 cm),1953,,Ventura,Ventura County,1002972,,,,,,,California,photograph,I:\Images\04_Web\1993\93.394_01_b02.jpg,http://www.sfmoma.org/explore/collection/artwork/9173
10671,81.124,,"Bruguière, Francis Joseph",Francis Joseph Bruguière,Panama-Pacific Exposition,gelatin silver print,13 1/2 in. x 10 5/8 in. (34.29 cm x 26.99 cm),1915,San Francisco,San Francisco,Treasure Island,1009506,,,,,Feature: Description,"Although Exhibition was on Treasure Island, I can't verify subject without image",California,photograph,I:\Images\04_Web\1981\81.124.jpg,
30705,99.336,PH99153,"Watkins, Carleton E.",Carleton E. Watkins,"Cypress Point, Monterey",albumen print,15 in. x 21 1/4 in. (38.1 cm x 53.98 cm),ca. 1880,Monterey,Monterey,Cypress Point,1011790,,Cypress Point,,,,,California,photograph,I:\Images\04_Web\1999\99.336_01_b04.jpg,
111727,2004.314,PGx2003.574.014,"Lange, Dorothea",Dorothea Lange,"Monticello Dam, from the series Death of a Valley",gelatin silver print,7 1/8 in. x 9 3/8 in. (18.1 cm x 23.83 cm),"1956, printed 1960",,Napa,Monticello Dam,1101188,,Monticello Dam,Berryessa Valley,,,,California,photograph,I:\Images\04_Web\2004\2004.314_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/111727
9168,93.391.A-B,,"Cook, Diane",Diane Cook,"Summit of the Cinder Cone, Lassen Volcanic National Park, CA",gelatin silver print,15 7/8 in. x 19 7/16 in. (40.32 cm x 49.37 cm),1992,,Lassen,Cinder Cone,1101667,,Lassen Volcanic National Park,,,,,California,photograph,,
15073,81.175,,"Worth, Don",Don Worth,"Rocks and Snow, Mt. Lassen National Park, California",gelatin silver print,,"1968, printed 1980",,Shasta,Lassen Volcanic National Park,1101667,,Mt. Lassen National Park,,,,,California,photograph,,
9991,74.52.45,,"Adams, Ansel",Ansel Adams,"Rocks and Moon, Joshua Tree National Monument",gelatin silver print,10 9/16 in. x 13 3/8 in. (26.83 cm x 33.97 cm),1948; printed ca. 1972,,San Bernardino,Joshua Tree National,1102107,,Joshua Tree National Monument,,,,,California,photograph,I:\Images\04_Web\1974\74.52.45.jpg,http://www.sfmoma.org/explore/collection/artwork/9991
9923,51.3209.9,,"Adams, Ansel",Ansel Adams,"In Joshua Tree National Monument, California, from Portfolio Two: The National Parks and Monuments",gelatin silver print,7 1/2 in. x 9 1/2 in. (19.05 cm x 24.13 cm),1942; printed 1950,,San Bernardino,Joshua Tree National,1102107,,Joshua Tree National Monument,,,,,California,photograph,I:\Images\04_Web\1951\51.3209.9_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/9923
9933,57.941,,"Adams, Ansel",Ansel Adams,"Yosemite Valley, Yosemite National Park",gelatin silver print,7 in. x 9 1/4 in. (17.78 cm x 23.5 cm),1934,,San Bernardino,Joshua Tree National,1102107,,Yosemite National Park,,,,,California,photograph,I:\Images\04_Web\1957\57.941_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/9933
9921,51.3209.7,,"Adams, Ansel",Ansel Adams,"Sentinel Rock, winter dusk, Yosemite National Park, California, from Portfolio Two: The National Parks and Monuments",gelatin silver print,7 5/16 in. x 9 1/16 in. (18.57 cm x 23.02 cm),1944; printed 1950,,San Bernardino,Joshua Tree National,1102107,,Yosemite National Park,,,,,California,photograph,I:\Images\04_Web\1951\51.3209.7.jpg,http://www.sfmoma.org/explore/collection/artwork/9921
10186,89.5,,"Arentz, Dick",Dick Arentz,"Cholla, Joshua Tree National Monument, California",platinum/palladium contact print,,1986,,San Bernardino,Joshua Tree National,1102107,,Joshua Tree National Monument,,,,,California,photograph,,
107600,2003.3,PH02.009,"Halverson, Karen",Karen Halverson,"Joshua Tree National Park, California",chromogenic print,36 in. x 28 in. (91.44 cm x 71.12 cm),2001,,San Bernardino,Joshua Tree National,1102107,,Joshua Tree National Park,,vertical,,,California,photograph,I:\Images\04_Web\2003\2003.30_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/107600
48860,,ST1998.0570,"Weed, Charles Leander",Charles Leander Weed,The Sentinels—315 feet high,albumen print ,10 in. x 12 7/8 in. (25.4 cm x 32.7 cm),ca. 1872,,Calaveras,Calaveras Big Trees State Park,1102196,,Calaveras Grove,,,,,California,photograph,I:\Images\04_Web\ST\ST1998.0570.jpg,http://www.sfmoma.org/explore/collection/artwork/48860
12464,81.221,,"Landweber, Victor",Victor Landweber,"Natural History Museum, Los Angeles, California",dye destruction print,11 in. x 14 in. (27.94 cm x 35.56 cm),1977,Los Angeles,Los Angeles,Exposition Park,1102813,,,,,,,California,photograph,I:\Images\04_Web\1981\81.221.jpg,http://www.sfmoma.org/explore/collection/artwork/12464
9833,75.68,,"Abbenseth, William H.",William H. Abbenseth,Untitled [deYoung storage],gelatin silver print,,ca. 1960-1972,San Francisco,San Francisco,Golden Gate Park,1102840,,,,,,,California,photograph,I:\Images\04_Web\1975\75.68_01_g04.jpg,http://www.sfmoma.org/explore/collection/artwork/9833
9957,74.52.11,,"Adams, Ansel",Ansel Adams,"Store Room, M.H. de Young Memorial Museum, San Francisco",gelatin silver print,9 1/8 in. x 11 1/4 in. (23.18 cm x 28.58 cm),ca. 1933; printed ca. 1972,San Francisco,San Francisco,Golden Gate Park,1102840,,de Young Museum,,,,,California,photograph,I:\Images\04_Web\1974\74.52.11_01_b04.jpg,
106579,87.136.7,87.136.7,"Genthe, Arnold",Arnold Genthe,Untitled [Tent in Golden Gate Park],gelatin silver print,7 1/2 in. x 9 1/2 in. (19.05 cm x 24.13 cm),n.d.,San Francisco,San Francisco,Golden Gate Park,1102840,,,,,,,California,photograph,,
11895,84.372,,"Hassel, Paul",Paul Hassel,Golden Gate Park,,,ca. 1957,San Francisco,San Francisco,Golden Gate Park,1102840,,Golden Gate Park,,,,,California,photograph,I:\Images\04_Web\1984\84.372.jpg,
150629,2014.96,PH13.206,"Jones, Pirkle",Pirkle Jones,"Untitled [Two women looking at Newton portrait, exhibition of A Photo-Essay on The Black Panthers at the De Young Museum, San Francisco, California]",gelatin silver print,8 in. x 10 in. (20.32 cm x 25.4 cm),1969,San Francisco,San Francisco,Golden Gate Park,1102840,,De Young Museum,,,,,California,photograph,I:\Images\04_Web\PH\PH13.206_01_B04.jpg,
123377,2007.366,PH06.022,"Mayes, Elaine",Elaine Mayes,"Interracial Couple and Baby, Golden Gate Park, August, 1968",gelatin silver print,9 in. x 9 in. (22.86 cm x 22.86 cm),1968,San Francisco,San Francisco,Golden Gate Park,1102840,,,Golden Gate Park,,,,California,photograph,I:\Images\04_Web\PH\PH06.022_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/123377
147290,2012.399,PH12.199,"Vignes, Michelle",Michelle Vignes,"San Francisco 1969, At a Happening in Golden Gate Park",gelatin silver print,8 in. x 11 7/8 in. (20.32 cm x 30.16 cm),1969,San Francisco,San Francisco,Golden Gate Park,1102840,,Golden Gate Park,,,,,California,photograph,,http://www.sfmoma.org/explore/collection/artwork/147290
147291,2012.397,PH12.200,"Vignes, Michelle",Michelle Vignes,"San Francisco 1968, At the Human Be-In Golden Gate Park",gelatin silver print,12 in. x 8 in. (30.48 cm x 20.32 cm),1968,San Francisco,San Francisco,Golden Gate Park,1102840,,Golden Gate Park,,,,,California,photograph,,http://www.sfmoma.org/explore/collection/artwork/147291
125354,2006.99,PH06.099,"Worden, Willard E.",Willard E. Worden,"Observatory in Ruins, Golden Gate Park, San Francisco",gelatin silver print,7 1/2 in. x 9 3/16 in. (19.05 cm x 23.34 cm),1906,San Francisco,San Francisco,Golden Gate Park,1102840,,Golden Gate Park,,,,,California,photograph,I:\Images\04_Web\2006\2006.99_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/125354
48344,,ST1998.0294,Lawrence & Houseworth,Lawrence & Houseworth,"Mount Diablo from Benicia, Solano County",stereograph,,1866,Benicia,Contra Costa,Mount Diablo,1104430,,Mount Diablo,,,County: Contra Costa,Taken in Benicia of Mt. Diablo (Solano or Contra Costa?),California,photograph,I:\Images\04_Web\ST\ST1998.0294.jpg,http://www.sfmoma.org/explore/collection/artwork/48344
10032,74.52.87,,"Adams, Ansel",Ansel Adams,"El Capitan, Early Morning, Winter, Yosemite Valley",gelatin silver print,16 1/4 in. x 12 11/16 in. (41.28 cm x 32.23 cm),1968; printed ca. 1972,,Mariposa,El Capitan,1104510,,El Capitan Yosemite Valley,,,,,California,photograph,I:\Images\04_Web\1974\74.52.87.jpg,http://www.sfmoma.org/explore/collection/artwork/10032
10064,80.461.11,,"Adams, Ansel",Ansel Adams,"El Capitan, from the portfolio Parmelian Prints of the High Sierras",gelatin silver print,7 3/16 in. x 5 3/4 in. (18.26 cm x 14.61 cm),ca. 1923; printed 1927,,Mariposa,El Capitan,1104510,,"El Capitan, Yosemite Valley",,,,,California,photograph,I:\Images\04_Web\1980\80.461.11_01_H04.jpg,http://www.sfmoma.org/explore/collection/artwork/10064
19796,80.462.6,,"Adams, Ansel",Ansel Adams,"El Capitan, Sunrise, from Portfolio Three: Yosemite Valley",gelatin silver print,9 7/16 in. x 7 3/8 in. (23.97 cm x 18.73 cm),1956; printed 1959,,Mariposa,El Capitan,1104510,,"El Capitan, Yosemite Valley",,,,,California,photograph,I:\Images\04_Web\1980\80.462.6.jpg,http://www.sfmoma.org/explore/collection/artwork/19796
119306,2004.668,PH04.445,Taber Studio,Taber Studio,"The Moon, August 21st, 1888--From negatives made with the great telescope of the Lick Observatory",albumen print,7 3/4 in. x 5 15/16 in. (19.69 cm x 15.08 cm),1888,San Jose,Santa Clara,Mount Hamilton,1104849,,Mount Hamilton,,,,,California,photograph,I:\Images\04_Web\2004\2004.668_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/119306
28585,81.173,,"Worth, Don",Don Worth,"Don Worth, Trees and Fog, Mt. Tamalpais, California",gelatin silver print,,"1969, printed 1981",,Marin,Mount Tamalpais,1106655,,Mt. Tamalpais,,,,,California,photograph,I:\Images\04_Web\1981\81.173.jpg,
9961,74.52.15,,"Adams, Ansel",Ansel Adams,San Francisco from Twin Peaks,gelatin silver print,15 5/8 in. x 19 1/2 in. (39.69 cm x 49.53 cm),ca. 1953; printed ca. 1972,San Francisco,San Francisco,Twin Peaks,1107656,,,Twin Peaks,,Feature: Description,Chose Twin Peaks as point but can't verify image,California,photograph,I:\Images\04_Web\1974\74.52.15_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/9961
10462,81.155,,"Belcher, Ray",Ray Belcher,Twin Peaks,gelatin silver print,,ca. 1970,San Francisco,San Francisco,Twin Peaks,1107656,,,Twin Peaks,,,,California,photograph,I:\Images\04_Web\1981\81.155.jpg,
28326,79.179,Jones 79.179,"Jones, Pirkle",Pirkle Jones,"Fog over Twin Peaks, San Francisco",gelatin silver print,9 7/16 in. x 13 7/16 in. (23.97 cm x 34.13 cm),1955,San Francisco,San Francisco,Twin Peaks,1107656,,,Twin Peaks,,,,California,photograph,I:\Images\04_Web\1979\79.179_01_g04.JPG,http://www.sfmoma.org/explore/collection/artwork/28326
14485,59.2102,,"Weston, Brett",Brett Weston,Untitled (Rooftops and Bay),gelatin silver print,7 5/8 in. x 9 5/8 in. (19.37 cm x 24.45 cm),1938,San Francisco,San Francisco,Twin Peaks,1107656,,,Twin Peaks,,,,California,photograph,I:\Images\04_Web\1959\59.2102.jpg,http://www.sfmoma.org/explore/collection/artwork/14485
14491,63.19.139,,"Weston, Brett",Brett Weston,Untitled (View from Twin Peaks),gelatin silver print,7 5/8 in. x 9 5/8 in. (19.37 cm x 24.45 cm),1938,San Francisco,San Francisco,Twin Peaks,1107656,,,,,,,California,photograph,I:\Images\04_Web\1963\63.19.139.jpg,http://www.sfmoma.org/explore/collection/artwork/14491
48987,,ST1998.0602,"Yavno, Max",Max Yavno,"View from Twin Peaks, San Francisco",gelatin silver print,10 11/16 in. x 19 3/8 in. (27.15 cm x 49.21 cm),"1947, printed 1970s",San Francisco,San Francisco,Twin Peaks,1107656,,,,,,,California,photograph,I:\Images\04_Web\ST\ST1998.0602.jpg,http://www.sfmoma.org/explore/collection/artwork/48987
15077,86.217,,"Worth, Don",Don Worth,"Fresh Snow on Mt. Lassen, California",gelatin silver print,,1968,,Shasta,Mount Lassen,1107708,,Mt. Lassen,,,,,California,photograph,I:\Images\04_Web\1986\86.217.jpg,
13978,63.19.168,,"Swift, Henry",Henry Swift,"Cabin, Tioga Pass",gelatin silver print,8 7/8 in. x 7 1/2 in. (22.54 cm x 19.05 cm),ca. 1935,,Tuolumne,Tioga Pass,1108594,,"Tioga Pass, Yosemite",,,,,California,photograph,I:\Images\04_Web\1963\63.19.168_01_b02.jpg,http://www.sfmoma.org/explore/collection/artwork/13978
48550,,ST1998.0460,"Swift, Henry",Henry Swift,"Cabin, Tioga Pass",gelatin silver print,9 1/8 in. x 7 3/4 in. (23.18 cm x 19.69 cm),ca. 1930,,Tuolumne,Tioga Pass,1108594,,"Tioga Pass, Yosemite",,,,,California,photograph,I:\Images\04_Web\ST\ST1998.0460.jpg,http://www.sfmoma.org/explore/collection/artwork/48550
29318,84.349.7,,"Deal, Joe",Joe Deal,"Baldwin Hills, California, from the portfolio The Fault Zone",gelatin silver print,,1978,Los Angeles,Los Angeles,Baldwin Hills,1110403,,,Baldwin Hills,,,,California,photograph,I:\Images\04_Web\1984\84.349.7.jpg,
13609,85.432.5,,"Deal, Joe",Joe Deal,"Puente Hills, California",gelatin silver print,11 1/4 in. x 14 1/4 in. (28.58 cm x 36.2 cm),1983,Puente Hills,Los Angeles,Puente Hills,1110569,,,,,,,California,photograph,,
149840,,PGPH13.091,"Divola, John",John Divola,"Untitled, San Fernando Valley",gelatin silver print,6 1/4  x 9 3/8 in. (15.88  x 23.81 cm),1972,,Los Angeles,San Fernando Valley,1111757,,,,,,,California,photograph,I:\Images\04_Web\PGPH\PGPH13.091_01_H02.jpg,
7278,92.102,,"Hagel, Otto",Otto Hagel,"Night Strike Meeting, San Joaquin Valley, 1936",gelatin silver print,"11 x 14""",1936,,,San Joaquin Valley,1111759,,San Joaquin Valley,,,,,California,photograph,I:\Images\04_Web\1992\92.102.jpg,
12480,81.74,,"Lange, Dorothea",Dorothea Lange,"Ditched, Stalled and Stranded, San Joaquin Valley, California, 1935",gelatin silver print,7 11/16  x 7 1/2 in. (19.53  x 19.05 cm),1935; printed 1970,,,San Joaquin Valley,1111759,,San Joaquin Valley,,,,,California,photograph,I:\Images\04_Web\1981\81.74_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/12480
149610,2013.14,PH13.040,"Lange, Dorothea",Dorothea Lange,"Funeral Cortege, End of an Era in a Small Valley Town, California",gelatin silver print,11 1/8 in. x 10 in. (28.26 cm x 25.4 cm),1938; printed ca. 1959,,,San Joaquin Valley,1111759,,San Joaquin Valley,,,,,California,photograph,I:\Images\04_Web\PH\PH13.040_01_B04.jpg,
140999,2012.106,PH11.113,"Jude, Ron",Ron Jude,"Morro Bay, CA, from the series Other Nature",inkjet print,22 1/2 in. x 29 1/16 in. (57.15 cm x 73.82 cm),2007,Morro Bay,San Luis Obispo,Morro Bay,1113465,,,,,,,California,photograph,I:\Images\04_Web\PH\PH11.113_01_B04.jpg,http://www.sfmoma.org/explore/collection/artwork/140999
149861,,PGPH13.112,"Struss, Karl",Karl Struss,Morro Bay,gelatin silver print,,1922,Morro Bay,San Luis Obispo,Morro Bay,1113465,,,,,,,California,photograph,I:\Images\04_Web\PGPH\PGPH13\PGPH13.75_117\PGPH13.112_01_g04.jpg,
102763,,UCPH2000228,"Watkins, Carleton E.",Carleton E. Watkins,San Francisco Bay,albumen print,8 in. x 12 in. (20.32 cm x 30.48 cm),n.d.,San Francisco,San Francisco,San Francisco Bay,1113750,,,,,,,California,photograph,I:\Images\04_Web\UCPH\UCPH2000228_01_e04.jpg,
14486,59.2103,,"Weston, Brett",Brett Weston,Untitled (San Francisco Warehouses and Bay),gelatin silver print,7 5/8 in. x 9 5/8 in. (19.37 cm x 24.45 cm),1939,,,San Francisco Bay,1113750,,,,,,,California,photograph,I:\Images\04_Web\1959\59.2103.jpg,
28576,73.25.12,,"Worth, Don",Don Worth,"San Francisco Bay, Near Corte Madera, Calif. 1966",gelatin silver print,,1966,San Francisco,San Francisco,San Francisco Bay,1113750,,,,,,,California,photograph,I:\Images\04_Web\1973\73.25.12_01_B04.jpg,
9969,74.52.23,,"Adams, Ansel",Ansel Adams,"The Golden Gate Before the Bridge, San Francisco, California",gelatin silver print,15 5/16 in. x 19 1/8 in. (38.89 cm x 48.58 cm),ca. 1932; printed ca. 1972,San Francisco,San Francisco,Golden Gate  ,1114135,,Golden Gate,San Francisco Bay,,,,California,photograph,I:\Images\04_Web\1974\74.52.23_01_B04.jpg,http://www.sfmoma.org/explore/collection/artwork/9969
9955,74.52.9,,"Adams, Ansel",Ansel Adams,"Shipwreck Detail, the Golden Gate, San Francisco",gelatin silver print,8 3/16 in. x 10 7/16 in. (20.8 cm x 26.51 cm),1931; printed ca. 1972,San Francisco,San Francisco,Golden Gate  ,1114135,,Golden Gate,,,,,California,photograph,I:\Images\04_Web\1974\74.52.9.jpg,
112008,,T2003.006,"Adams, Ansel",Ansel Adams,"Looking West, Past the Golden Gate Headlands",gelatin silver print,5 3/4 in. x 8 in. (14.61 cm x 20.32 cm),1932,San Francisco,San Francisco,Golden Gate  ,1114135,,Golden Gate Headlands,,,,,California,photograph,I:\Images\04_Web\T\T2003.006_01_B04.jpg,
8253,92.212,,"Brenner, Marion",Marion Brenner,Mills Building and Tower 220 Montgomery Street and 220 Bush Street,gelatin silver print,13 7/8 in. x 10 3/16 in. (35.24 cm x 25.88 cm),1991,San Francisco,San Francisco,Golden Gate  ,1114135,,,,,,,California,photograph,I:\Images\04_Web\1992\92.212.jpg,
28313,70.40.1,,"Jones, Pirkle",Pirkle Jones,"Breaking Wave, Golden Gate, San Francisco, from Portfolio Two: Twelve Photographs",gelatin silver print,9 1/4 in. x 13 1/4 in. (23.5 cm x 33.66 cm),1952; printed 1968,San Francisco,San Francisco,Golden Gate,1114135,,Golden Gate,,,,,California,photograph,I:\Images\04_Web\1970\70.40.1_01_B04.jpg,http://www.sfmoma.org/explore/collection/artwork/28313
48343,,ST1998.0293,Lawrence & Houseworth,Lawrence & Houseworth,"The Presidio and Golden Gate from Russian Hill, San Francisco",stereograph,3 in. x 6 1/8 in. (7.62 cm x 15.56 cm),1866,San Francisco,San Francisco,Golden Gate,1114135,,Presidio and Golden Gate,Russian Hill,,,,California,photograph,I:\Images\04_Web\ST\ST1998.0293.jpg,http://www.sfmoma.org/explore/collection/artwork/48343
