_ID (Object),Accession Number,Temp ID,Artist Sort Name,Display Artist,Display Title,Display Medium,Display Dimensions,Display Create Date,City,County,Feature Description,TGN ID,Geoname,Historic place,Neighborhood,Direction,Guess,Extent,State Province,Object Type,Media Filepath ,EMA web address
7340,D.91.364,,"Adams, Ansel",Ansel Adams,"Cypress and Fog, Pebble Beach, California",gelatin silver print,9 13/16  x 13 in. (24.92  x 33.02 cm),1967; printed 1979,Pebble Beach,Monterey,Pebble Beach,2013297,,Pebble Beach,,,,,California,photograph,I:\Images\04_Web\1991\91.364_01_s04.jpg,
14505,81.351,,"Weston, Brett",Brett Weston,"Beach Rocks, from Abstractions Portfolio 1",gelatin silver print,10 11/16 in. x 11 3/4 in. (27.15 cm x 29.85 cm),"1976, printed 1980",Pebble Beach,Monterey,Pebble Beach,2013297,,,,,,,California,photograph,I:\Images\04_Web\1981\81.351.JPG,
14573,85.311,,"Weston, Brett",Brett Weston,Untitled (Rock Forms),gelatin silver print,,1970,Pebble Beach,Monterey,Pebble Beach,2013297,,,,,,,California,photograph,I:\Images\04_Web\1985\85.311.jpg,
10015,74.52.69,,"Adams, Ansel",Ansel Adams,"Mexican Girl, Near Pescadero, California",gelatin silver print,10 3/8 in. x 8 1/16 in. (26.35 cm x 20.48 cm),ca.1958; printed ca. 1972,Pescadero,San Mateo  ,Pescadero,2013318,,,,,,,California,photograph,I:\Images\04_Web\1974\74.52.69.jpg,http://www.sfmoma.org/explore/collection/artwork/10015
13263,81.140.1,,"Pfahl, John",John Pfahl,"Wave, Lave, Lace. Pescadero Beach, California, from the portfolio Altered Landscapes",dye transfer print,11 1/16 in. x 12 in. (28.1 cm x 30.48 cm),1978,Pescadero Beach,San Mateo  ,Pescadero,2013318,,,,,,,California,photograph,I:\IMAGES\Artist Projects\photo copy\81.140.1.tif,
14768,60.4501,,"White, Minor",Minor White,"Bean Hollow State Park, California, from Sequence 15",gelatin silver print,7 1/4 in. x 9 1/4 in. (18.42 cm x 23.5 cm),1959,,San Mateo,Pescadero,2013318,,Bean Hollow State Park,,,,,California,photograph,I:\Images\04_Web\1960\60.4501.jpg,
15037,58.1894,,"Worth, Don",Don Worth,"The Pacific, Pescadero",gelatin silver print,,1957,Pescadero,San Mateo,Pescadero,2013318,,,,,,Add City,California,photograph,I:\Images\04_Web\1958\58.1894_01_B04.jpg,
10887,81.193,,"Camhi, Morrie",Morrie Camhi,"Sister Anne, Palmist, Petaluma, Ca",gelatin silver print,,1976,Petaluma,Sonoma,Petaluma,2013319,,,,,,,California,photograph,I:\Images\04_Web\1981\81.193.jpg,
10909,82.218,,"Camhi, Morrie",Morrie Camhi,"Dan Lopez, Artist, and Son Gabriel, Petaluma, CA",gelatin silver print,,1976,Petaluma,Sonoma,Petaluma,2013319,,,,,,,California,photograph,I:\Images\04_Web\1982\82.218.jpg,
101272,2000.343,PH200074,"Gutmann, John",John Gutmann,"Monument to the Chicken Center of the World, Petaluma, California",gelatin silver print,8 in. x 10 in. (20.32 cm x 25.4 cm),"1936, printed ca. 1974",Petaluma,Sonoma,Petaluma,2013319,,,,horizontal,,,California,photograph,I:\Images\04_Web\2000\2000.343.jpg,http://www.sfmoma.org/explore/collection/artwork/101272
